#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
42.8%	2140000	-235730.80846918258	305.5778394429931	629
43.0%	2150000	-235218.43536890182	305.01305112223275	629
43.2%	2160000	-235512.7488530937	303.02746736155603	629
43.4%	2170000	-234641.36775720748	297.78711628457467	629
43.6%	2180000	-234762.36156976852	301.262668893878	629
43.8%	2190000	-235387.61352289352	302.32954767622334	629
44.0%	2200000	-235065.98348749313	301.29796305171226	629
44.2%	2210000	-234948.0026525322	304.0723410475823	629
44.4%	2220000	-235251.73515070113	300.84525347972146	629
44.6%	2230000	-234766.4793371025	297.68922999356437	629
44.8%	2240000	-235346.4983037773	299.12562161564557	629
45.0%	2250000	-234898.30688226852	301.070372494561	629
45.2%	2260000	-234600.93879449996	301.69654704114487	629
45.4%	2270000	-235726.0100377861	298.7969548622891	629
45.6%	2280000	-235428.7731298271	298.69004544555213	629
45.8%	2290000	-234656.41100824508	295.1187815380716	629
46.0%	2300000	-235463.89147699508	302.07706855487146	629
46.2%	2310000	-235754.62196100387	298.41381011556246	629
46.4%	2320000	-235267.50268304977	301.39367169742644	629
46.6%	2330000	-235543.85592401656	298.19924460591363	629
46.8%	2340000	-235349.54549921188	298.60203175698604	629
47.0%	2350000	-234521.57092035445	301.85529584610055	629
47.2%	2360000	-235384.58321893844	298.5182748141874	630
47.4%	2370000	-234903.47456873092	301.5562272622663	630
47.6%	2380000	-234649.16248834762	302.22731299747267	630
47.8%	2390000	-234783.34686029586	302.36908877640246	630
48.0%	2400000	-235464.04652155074	300.00402544276335	630
48.2%	2410000	-235243.10526788863	299.2284227178365	630
48.4%	2420000	-234931.65857065353	299.0651152993787	630
48.6%	2430000	-235124.88087213668	301.70533213014755	630
48.8%	2440000	-235311.2139867607	300.19242322747345	630
49.0%	2450000	-234885.31158197555	300.47249783021675	630
49.2%	2460000	-234733.86541498336	297.68501761648616	630
49.4%	2470000	-234219.7372716728	297.54519779962556	630
49.6%	2480000	-235304.0006688896	297.49160153349925	630
49.8%	2490000	-235398.24490106734	302.03473302023673	630
50.0%	2500000	-235319.58697260055	305.46640516553765	630
50.2%	2510000	-235596.4958013359	300.7702617968519	630
50.4%	2520000	-235350.9222921196	302.8351054261598	630
50.6%	2530000	-235353.46416986617	300.5048230186319	630
50.8%	2540000	-234936.54650629195	301.88584120649455	630
51.0%	2550000	-235321.4160131279	299.20847202744005	630
51.2%	2560000	-235679.07061517867	302.5359155716241	630
51.4%	2570000	-235142.72903192672	304.604146538807	630
51.6%	2580000	-235124.10410822066	299.96212301605374	630
51.8%	2590000	-234943.76904047164	302.79649703035756	630
52.0%	2600000	-234931.34115350875	302.6887748898157	630
52.2%	2610000	-235462.8557485405	302.36348076596727	630
52.4%	2620000	-236296.92305505904	302.5014983601451	630
52.6%	2630000	-234917.89373529586	302.7587833694584	630
52.8%	2640000	-235853.7067388359	301.31500601346085	630
53.0%	2650000	-235178.04116571578	302.62784215977996	630
53.2%	2660000	-235200.04805505904	304.06900806426074	630
53.4%	2670000	-235277.05541742477	301.3048230206659	630
53.6%	2680000	-235195.7896093193	302.97721647535644	630
53.8%	2690000	-235464.40504205856	298.45220473114364	630
54.0%	2700000	-235199.73513544234	302.75035511915684	630
54.2%	2710000	-234604.46446741256	305.09999890780125	630
54.4%	2720000	-235159.02493036422	300.4856755074844	630
54.6%	2730000	-235655.51446283492	300.10316688912667	630
54.8%	2740000	-235464.58129633102	303.0617988705339	630
55.0%	2750000	-235746.27367914352	305.15729875137254	630
55.2%	2760000	-235110.39820612106	298.42460443070934	630
55.4%	2770000	-234869.03558099899	299.0750960991833	630
55.6%	2780000	-234327.09306085738	303.7541824176635	630
55.8%	2790000	-235317.37508905563	300.4647354914877	630
56.0%	2800000	-235844.26711786422	297.0342484275864	630
56.2%	2810000	-235711.00219476852	301.2659120510352	630
56.4%	2820000	-235222.16692865524	302.9143604962942	630
56.6%	2830000	-234756.80180109176	305.59679708585645	630
56.8%	2840000	-235414.19845331344	300.78062160431733	630
57.0%	2850000	-234786.8401006523	305.37657230841586	630
57.2%	2860000	-235872.72372186813	297.2688161301072	630
57.4%	2870000	-235852.98174799117	300.1123922729819	630
57.6%	2880000	-234535.2229284111	299.41260217631236	630
57.8%	2890000	-235586.79929102096	302.00982258880754	630
58.0%	2900000	-234761.3271306816	304.95987638746647	630
58.2%	2910000	-235025.9796117607	303.70667461091284	630
58.4%	2920000	-235236.24056757125	296.62191412024475	630
58.6%	2930000	-234628.91471613082	297.63298118862116	630
58.8%	2940000	-234368.65144098434	301.1848787921492	631
59.0%	2950000	-235864.3321508232	298.2976215677475	631
59.2%	2960000	-234932.25791681441	299.135449415774	631
59.4%	2970000	-235038.17796075973	298.93925607076966	631
59.6%	2980000	-234829.3539251152	299.8543906105465	631
59.8%	2990000	-235609.17110956344	300.11497684090233	631
60.0%	3000000	-235684.8825200859	301.38747429677886	631
60.2%	3010000	-236100.08791864547	301.02390684593973	631
60.4%	3020000	-235031.0635961357	298.47215069606835	631
60.6%	3030000	-234367.62757623824	306.61628584580654	631
60.8%	3040000	-235519.68326318893	304.20425069609314	631
61.0%	3050000	-235322.29330194625	303.81578784842975	631
61.2%	3060000	-235419.24393976363	301.3382602745089	631
61.4%	3070000	-235230.1453527275	301.9576189594426	631
61.6%	3080000	-234750.29948175582	301.8293794904391	631
61.8%	3090000	-235573.64905298385	303.71400167873054	631
62.0%	3100000	-236135.3194555107	302.1312987069962	631
62.2%	3110000	-234773.31088007125	298.39677789547994	631
