#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
38.2%	1910000	-258748.01460503577	300.2736556142712	631
38.4%	1920000	-258478.21882866859	298.8577451877036	631
38.6%	1930000	-258531.156588068	303.51337572641285	631
38.8%	1940000	-259066.88484429359	299.9314330376661	631
39.0%	1950000	-258724.96748589515	303.8428336764403	631
39.2%	1960000	-258447.00978325843	300.0609264961867	631
39.4%	1970000	-259434.76854180335	299.6371549790503	631
39.6%	1980000	-259009.7386040592	304.8605110367421	632
39.8%	1990000	-257965.68214653968	301.53863260669226	632
40.0%	2000000	-258450.21052788734	302.3080196705572	632
40.2%	2010000	-259225.39424370765	300.5351903910892	632
40.4%	2020000	-258627.49012993812	300.71789536666904	632
40.6%	2030000	-258410.26829766273	306.36296015644876	632
40.8%	2040000	-258757.41582726478	298.07866109928375	632
41.0%	2050000	-258186.91276787757	299.39392498981346	632
41.2%	2060000	-258774.86665581702	303.3770752850141	632
41.4%	2070000	-258673.96473931312	300.2545015852322	632
41.6%	2080000	-259043.04837273597	303.2801246130249	632
41.8%	2090000	-259441.27049492835	299.57696172275104	632
42.0%	2100000	-259353.92378472327	301.68812001630414	632
42.2%	2110000	-258997.0579399967	301.1947936477215	632
42.4%	2120000	-259214.9484429264	300.91507964161855	632
42.6%	2130000	-259353.16902398109	303.420168787989	632
42.8%	2140000	-259261.60725640296	300.51898544606007	632
43.0%	2150000	-258783.9739556217	300.92762697158634	632
43.2%	2160000	-258862.84865044593	302.7351307150376	632
43.4%	2170000	-259005.64540337562	300.17343984513747	632
43.6%	2180000	-258172.43681572913	300.769176338543	632
43.8%	2190000	-258405.10585259437	301.3701547491164	632
44.0%	2200000	-258583.73127984046	297.85399081851136	632
44.2%	2210000	-259416.63685845374	299.9719771471586	632
44.4%	2220000	-259552.66002892493	298.89200489945006	632
44.6%	2230000	-258941.9664482975	301.21504178217174	632
44.8%	2240000	-259089.73976372718	303.35615967602797	632
45.0%	2250000	-258517.34193657874	303.62486328615347	632
45.2%	2260000	-258945.13591240882	301.6386128486507	632
45.4%	2270000	-258117.77052544593	300.20031206612083	632
45.6%	2280000	-260031.13087700843	301.88763798295076	632
45.8%	2290000	-257426.57802056312	300.6236738200489	632
46.0%	2300000	-259850.72212456702	300.6481381616737	632
46.2%	2310000	-258668.6539482975	301.3170129550951	632
46.4%	2320000	-259413.41163872718	301.9134406464005	632
46.6%	2330000	-259318.1731743717	302.66273790435736	632
46.8%	2340000	-258230.0773491764	300.67456651658256	632
47.0%	2350000	-258999.11665581702	301.2565915298409	632
47.2%	2360000	-259064.96541069984	299.2481750211333	632
47.4%	2370000	-258882.25416802405	301.06503020663627	632
47.6%	2380000	-259587.98213433265	300.3384295257256	632
47.8%	2390000	-259583.14479302405	298.1104190662919	632
48.0%	2400000	-258540.88948296546	302.99812831767014	632
48.2%	2410000	-258723.6013359928	299.9068128697111	632
48.4%	2420000	-259114.90181206702	298.3072379246225	632
48.6%	2430000	-259576.16139458655	295.7379710095129	632
48.8%	2440000	-258947.30555962562	300.44002656315666	632
49.0%	2450000	-258480.72249077796	300.59000094516296	632
49.2%	2460000	-258443.51436089515	303.2276248896311	632
49.4%	2470000	-259687.80940484046	302.33507038361637	632
49.6%	2480000	-259030.41346978187	301.1406269662471	632
49.8%	2490000	-259830.4484429264	304.5436225215001	632
50.0%	2500000	-258873.1584038639	303.8227818765718	632
50.2%	2510000	-258312.7718377018	299.8337765562372	632
50.4%	2520000	-258682.25569390296	301.8674495802537	632
50.6%	2530000	-258863.02577446937	300.5050842238178	632
50.8%	2540000	-258914.7867607975	303.0196293569998	632
51.0%	2550000	-258861.47542046546	302.1965729353887	632
51.2%	2560000	-258859.83601616859	299.8275767764614	632
51.4%	2570000	-259606.09831475257	298.63984924448516	632
